project_code,project_name,mda_name,project_status,location,amount,expenditure_code
ERGP30242582,"SUPPLY OF EMPOWERMENT MATERIAL TO YOUTH AND WOMEN IN PATIGI LGA, KWARAONGOING                35,000,000 STATE.",,,,35000000.0,
ERGP30242672,PROVISION OF THREE IN ONE SOLAR STREET LIGHTS IN PATIGI LOCAL GOVERNMENT KWARA NORTH,,ONGOING,Kwara,70000000.0,
ERGP30242821,"SUPPLY OF FERTILIZER TO COOPERATIVE FARMERS IN SHIRORO/ RAFI/ MUNYA FEDERAL CONSTITUENCY, NIGER STATE.",,ONGOING,Niger,70000000.0,
ERGP30242947,CONSTRUCTION OF ULTRA MODERN TOWN HALL IN AMAI COMMUNITY IN DELTA NORTH SENATORIAL DISTRICT,,ONGOING,Delta,70000000.0,
ERGP30243058,MEDICAL OUTREACH PROGRAM IN SELECTED COMMUNITIES IN CROSS RIVER CENTRAL SOUTH SEN DISTRICT,,,Cross River,,
ERGP27193795,CONSTRUCTION OF AGRICULTURAL CENTRAL ADMINISTRATIVE OFFICE COMPLEX,,ONGOING,,70000000.0,
ERGP29193915,"PROCUREMENT OF ICT EQUIPMENT, FURNITURE, NETWORKING ETC. FOR 500 SEATER FEDERAL COOPERATIVE COLLEGE IBADAN'S CBT CENTRE.",,ONGOING,,315000000.0,
ERGP30234947,STRATEGIC EMPOWERMENT TRAINING AND PROVISION OF MATERIALS AND GRANTS TO YOUTHS AND WOMEN IN VARIOUS COMMUNITIES IN THE NORTH WEST GEO- POLITICAL ZONES,,ONGOING,,168000000.0,
ERGP30234964,"PROVISION AND INSTALLATION OF SOLAR POWERED BOREHOLE AND ALL-IN-ONE SOLAR STREET LIGHTS IN IFITE COMMUNITY EZININIFITE, NNEWI SOUTH LGA, ANAMBRA STATE (JCEE),ANAMBRA STATE",,ONGOING,Anambra,21000000.0,
ERGP30234981,"EMPOWERMENT FOR YOUTHS, WOMEN AND MEN; WITH SEWING MACHINES, MOTOR BIKES, FRIDGES, GRINDING MACHINES, FREEZERS, GENERATORS AND OTHERS IN OWAN Budget Office of the Federation             Page 732 / 279",,ONGOING,,350000000.0,
ERGP30234998,"INSTALLATION OF SOLAR-POWERED STREETLIGHTS IN COMMUNITIES IN NDOKWA EAST LGA, DELTA STATE",,ONGOING,Delta,35000000.0,
ERGP30235015,"PROCUREMENT AND SUPPLY OF FAIRLY USED AND BRAND NEW VEHICLES FOR TRANSPORTATION PROGRAMS IN IFO/EWEKORO FEDERAL CONSTITUENCY, OGUN STATE (MULTIPLE LOTS)",,ONGOING,Ogun,350000000.0,
ERGP30235032,"SKILL ACQUISITION AND HUMAN DEVELOPMENT PROGRAM FOR WOMEN IN UMUNWEOHA COMMUNITY, OKIJA, ANAMBRA STATE.",,ONGOING,Anambra,35000000.0,
ERGP30235049,PROVISION OF FOOD ITEMS IN AWKA NORTH AND SOUTH OF ANAMBRA STATE,,ONGOING,Anambra,21000000.0,
ERGP30235066,PROVISION OF FOOD ITEMS TO INDIGENT YOUTH AND WOMEN IN EKET/ONNA/ESIT EKET/IBENE FEDERAL CONSTITUENCY OF AKWA IBOM STATE.,,ONGOING,Akwa Ibom,35000000.0,
ERGP30235083,"SUPPLY OF EMPOWERMENT MATERIALS TO WOMEN IN UMERUM, AYAMELUM LGA ANAMBRA STATE.",,ONGOING,Anambra,14000000.0,
ERGP30235100,PROCUREMENT OF FARM IMPLEMENTS FOR COOPERATIVE IN GUMA/MAKURDI FEDERAL CONSTITUENCY OF BENUE STATE.,,,Benue,,
ERGP30235117,"PROVISION OF FOOD ITEMS TO INDIGENT YOUTH IN MGBOM VILLAGE, AFIKPO",,ONGOING,,21000000.0,
ERGP30235134,"SUPPLY OF CASSAVA PROCESSING MILL,PALM OIL PROCESSING MILL,GRINDING MACHINE AND SEWING MACHINE TO IKA FEDERAL CONSTITUENCY,DELTA STATE",,ONGOING,Delta,70000000.0,
ERGP30235151,"PURCHASE OF WATER PUMPING MACHINES FOR EMPOWERMENT IN ILLELA/GWADABAWA FEDERAL CONSTITUENCY, SOKOTO STATE",,ONGOING,Sokoto,35000000.0,
ERGP30235168,"PROVISION OF EDUCATIONAL MATERIALS IN SELECTED COMMUNITIES IN BOMADI/PATANI FEDERAL CONSTITUENCY, DELTA STATE",,ONGOING,Delta,140000000.0,
ERGP30235185,"RENOVATION OF CLASSROOM BLOCKS IN NGWA ROAD PRIMARY SCHOOL, ABA NORTHONGOING                 70,000,000 AND SOUTH FEDERAL CONSTITUENCY",,,,70000000.0,
ERGP30235202,"PROVISION OF INTERLOCKING IN SOME SELECTED COMMUNITY ROAD IN ILORIN EAST/SOUTH FEDERAL CONSTITUENCY, KWARA STATE",,ONGOING,Kwara,140000000.0,
ERGP30235219,SUPPLY OF FETILIZER TO FERMARS IN MADAGALI/MICHIKA FEDERAL CONSTITUENCY ADAMAWA STATE,,ONGOING,Adamawa,140000000.0,
ERGP30235237,"COMPLETION AND EQUIPPING OF GWAGWAN COMPREHENSIVE HEALTH CARE CENTREONGOING                70,000,000 IN KARAYE/ROGO FEDERAL CONSTITUENCY, KANO STATE",,,Kano,70000000.0,
ERGP30235256,"CONSTRUCTION OF SLAB KANFAWA TO BADERAWA ROAD IN DAURA L.G.A OF DAURA/SANDAMU/MAI'ADUA FEDERAL CONSTITUENCY, KATSINA STATE",,ONGOING,Katsina,70000000.0,
ERGP30235273,PROVISION AND DISTRIBUTION OF BAGS OF FOOD ITEMS (RICE AND GARRI) TO CONSTITUENTS OF ABA NORTH/SOUTH LOCAL GOVERNMENT AREA OF ABIA STATE,,ONGOING,Abia,70000000.0,
ERGP30235322,"SUPPLY AND INSTALLATION OF SOLAR STREET LIGHTS TO OBINGWA, UGWUNAGBO OSISIOMA LOCAL GOVERNMENT AREAS, ABIA STATE.",,ONGOING,Abia,140000000.0,
ERGP30235351,"CONSTRUCTION OF MODERN OPEN MARKET IN ITEM AMAGU, IGBOJI AND EKE AMAGU MARKET IN FARM SETTLEMENT IN IKWO/EZZA SOUTH FEDERAL CONSTITUENCY, EBONY STATE IESFC.",,ONGOING,,175000000.0,
ERGP30235378,"PROVISION OF FOOD MATERIALS FOR VULNERABLE PEOPLE OF ANINRI/AGWU/OJI- RIVER FEDERAL CONSTITUENCY, ENUGU STATE.",,ONGOING,Enugu,70000000.0,
ERGP30235536,"PROCUREMENT AND INSTALLATION OF SOLAR POWERED STREET LIGHTS IN SELECTED LOCATIONS IN IKONO/INI FEDERAL CONSTITUENCY, AKWA IBOM STATE",,,Akwa Ibom,,
ERGP30235576,"SUPPLY AND DISTRIBUTION OF FARM IMPLEMENTS, FISHING GEARS AND BOATS TO CONSTITUENTS IN SAGBAMA/EKEREMOR FEDERAL CONSTITUENCY, BAYELSA STATE",,ONGOING,Bayelsa,70000000.0,
ERGP30235600,"UPGRADING OF ERAWHA, AKIEWHE, OTOR-IGHO, EMAGBODHI,AND OWHELOGBO LIGHT FROM 11KVA TO 33KVA TRANSFORMERS AND ITS ACCESSORIES UJA.",,ONGOING,,140000000.0,
ERGP30235617,"INPUT SUPPORT FOR FISHERMEN IN ANDONI LGA, ANDONI-OPOBO/NKORO FEDERAL CONSTITUENCY, RIVERS STATE",,ONGOING,Rivers,70000000.0,
ERGP30235634,PROVISION OF FOOD ITEMS FOR PEOLE OF COKER/IJESHA COMMUNITIES OF SURULERE II FEDERAL CONSTITUENCY OF LAGOS STATE,,,Lagos,,
ERGP30235652,"PROVISION OF SOLAR STREET LIGHTS IN SELECTED LOCATIONS ACROSS YEWA NORTH/IMEKO AFONFEDERALCONSTITUENCY,OGUN STATE",,ONGOING,Ogun,140000000.0,
ERGP30235669,"TRAINING AND EMPOWERMENT OF YOUTH AND FRESH SCHOOL LEAVERS ON CHEMICAL PRODUCTS PRODUCTION AND MARKETING FOR DOMESTIC USE IN ENUGU NORTH AND SOUTH FEDERAL CONSTITUENCY, ENUGU STATE",,ONGOING,Enugu,70000000.0,
ERGP30235687,MEDICAL OUTREACH FOR SELECTED COMMUNITIES IN OSHODI/ISOLO 11 FED CONSTITUENCY LAGOS STATE.,,ONGOING,Lagos,70000000.0,
ERGP30235704,CONSTRUCTION OF RURAL FARM ROADS TO BOOST AGRICULTURAL ACTIVITIES IN SELECTED COMMUNITIES ACROSS DUTSIN-MA/KURFI FEDERAL CONSTITUENCY (MULTIPLE LOTS OF 500M EACH,,ONGOING,,700000000.0,
ERGP30235721,"PROVISION AND SUPPLY OF EDUCATIONAL MATERIALS SUCH AS BOOKS AND SCHOOL BAGS TO SOME SELECTED PRIMARY AND SECONDARY SCHOOLS IN ORUMBA NORTH AND SOUTH FEDERAL CONSTITUENCY, ANAMBRA STATE (C.C.N)",,ONGOING,Anambra,17500000.0,
ERGP30235738,SUPPLY AND INSTALLATION OF ALL-IN-ONE SOLAR STREET LIGHTS IN UMUNRI ANAMBRA STATE,,ONGOING,Anambra,14000000.0,
ERGP30235763,PROVISION OF SCIENCE LABORATORY EQUIPMENTS TO IKA GRAMMAR SCHOOL AGBOR,,ONGOING,,70000000.0,
ERGP30235783,PROVISION OF STRATEGIC EMPOWERMENT FOR WOMEN AND YOUTHS IN AROKO- AGORO AND OTHER SELECTED LOCATIONS,,ONGOING,,145425000.0,
ERGP30235830,"SUPPLY OF SCHOOL LAB EQUIPMENT TO SELECTED SECONDARY SCHOOLS IN BAUCHIONGOING                35,000,000 SOUTH SENATORIAL DISTRICT, BAUCHI STATE.",,,Bauchi,35000000.0,
ERGP30235847,PROVISION/ INSTALLATION OF ALL-IN-ONE SOLAR STREETLIGHTS (150 WATTS) IN UKWA WEST LGA OF ABIA SOUTH SENATORIAL DISTRICT OF ABIA STATE,,ONGOING,Abia,70000000.0,
ERGP30235865,"CHOLERA OUTBREAK MEDICAL INTERVENTION IN SELECTED COMMUNITIES AND PROVISION OF SOLAR WATER SUPPLY PROJECTS TO SELECTED COMMUNITIES IN THE SOUTHERN REGION, BARA LE Ã¢â¬â TAI LOCAL GOVERNMENT AREA AND S",,ONGOING,,266000000.0,
ERGP30235883,"""CHOLERA OUTBREAK MEDICAL INTERVENTION IN SELECTED COMMUNITIES AND PROVISION OF SOLAR WATER SUPPLY PROJECTS TO SELECTED COMMUNITIES IN THE SOUTHERN REGION FOR BAN-OGOI -TAI LOCAL GOVERNMENT AREA """,,ONGOING,,266000000.0,
ERGP30235901,CONSTRUCTION OF RURAL MARKETS IN SELECTED LOCATIONS IN NATIONWIDE TO ENHANCE AGRO-ECONOMIC OUTPUT AND COMMERCE IN THOSE COMMUNITIES (MULTIPLE LOTS),,ONGOING,,595000000.0,
ERGP30235920,SUPPLY OF FERTILIZER TO ENHANCE AGRICULTURAL OUTPUT IN SELECTED COMMUNITIES IN BAUCHI NORTH SENATORIAL DISTRICT.,,ONGOING,Bauchi,70000000.0,
ERGP30235938,SUPPLY AND INSTALLATION OF SOLAR STREETLIGHTS IN SELECTED COMMUNITIESWITHIN URUAN AND UYO LGAS IN AKWA IBOM NORTH-EAST SENATORIAL DISTRICT,,ONGOING,Akwa Ibom,70000000.0,
ERGP30235965,"PROVISION OF SOLAR POWERED BOREHOLE IN SELECTED COMMUNITIES IN CROSS RIVER CENTRAL SENATORIAL DISTRICT, CROSS RIVER STATE.",,ONGOING,Cross River,70000000.0,
ERGP30235990,"CONSTRUCTION OF BLOCKS OF CLASSROOMS AT AKPEKPE SECONDARY SCHOOL AUCHI, ETSAKO WEST LOCAL GOVERNMENT AREA, EDO STATE.",,ONGOING,Edo,105000000.0,
ERGP30236061,GRADING AND SURFACE DRESSING OF SOME INTERNAL FARM ROADS TO ENHANCE FARM INPUT IN KATSINA CENTRAL SENATORIAL DISTRICT.,,ONGOING,Katsina,175000000.0,
ERGP30236085,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHT FOR SOME SELECTED LGAS IN SOKOTO EAST SENATORIAL DISTRICT, SOKOTO STATE.",,,Sokoto,,
ERGP30236128,SUPPLY OF EMPOWERMENT ITEMS FOR YOUTHS OF ENUGU EAST SENATORIAL DISTRICT,,,Enugu,,
ERGP30236267,"SUPPLY OF GRAINS, FERTILIZERS, CEREAL, HERBICIDES AND INSECTICIDES TO RURALONGOING         3,500,000,000 FARMERS IN SOME SELECTED LOCAL GOVERNMENT AREA IN NIGER DELTA STATES (MULTIPLE LOTS )",,,"Niger, Delta",3500000000.0,
ERGP30236299,"TRAINING AND CAPACITY BUILDING OF YOUTHS AND WOMEN ON SWEET POTATO VALUE CHAIN FOR WEALTH CREATION IN ONITSHA, ANAMBRA STATE",,ONGOING,Anambra,35000000.0,
ERGP30236333,"SUPPLY OF FARM INPUTS TO SELECTED FARMING COMMUNITIES OF IREPODUN/IFELODUN LGA, EKITI STATE",,ONGOING,Ekiti,175000000.0,
ERGP30236371,CHANNELIZATION AND CONSTRUCTION OF AKO CULVETS IN IREWOLE LOCAL GOVERNMENT OF OSUN WEST SENATORIAL DISTRICT,,ONGOING,Osun,105000000.0,
ERGP30236812,CONSTRUCTION OF SANITARY FACILITIES AT 9TH MILE SPARE PARTS MARKET,,ONGOING,,28000000.0,
ERGP30236856,"TRAINING OF YOUTH IN AGRICULTURE TECHNOLOGY, VACATIONAL SKILLS ACQUISITION, POST HARVEST HANDLING & PRECISION FARMING SKILLS IN NIGER EAST SENATORIAL DISTRICT",,ONGOING,Niger,210000000.0,
ERGP30236895,"PROVISION OF DEDICATED SOLAR ENERGY AND SOLAR LIGHTS AT THE ICU AND AMENITIES CENTRE, IYIN EKITI",,ONGOING,Ekiti,140000000.0,
ERGP30237235,"SUPPLY AND INSTALLATION OF SOLAR POWERED STREET LIGHTS IN ISOKO- NORTH/ISOKO-SOUTH LOCAL GOVERNMENT AREA, DELTA SOUTH SENATORIAL DISTRICT, DELTA STATE",,ONGOING,Delta,280000000.0,
ERGP30237273,PROVISION OF SOLAR POWERED BOREHOLES IN SELECTED COMMUNITIES IN SELECTED LOCATIONS OF THE 9 LGA NIGER EAST SENATORIAL DISTRICT Budget Office of the Federation             Page 756 / 2790              ,,,Niger,,
ERGP30237308,"""SUPPLY OF FOOD ITEMS FOR RURAL COOPERATIVE MEN AND WOMEN IN OGUN EAST SENATORIAL DISTRICT, OGUN STATE """,,ONGOING,Ogun,175000000.0,
ERGP30237339,"FURNISHING AND EQUIPPING OF BLOCK OF CLASSROOMS IN OBADA, IDOGO,IGBESA RURAL FARMING COMMUNITY",,ONGOING,,280000000.0,
ERGP30237362,ASPHALTING AND CONSTRUCTION OF RURAL ACCESS ROAD AND SIDE DRAINS IN IJU- OTA AND EBIYE FARMING COMMUNITIES,,ONGOING,,700000000.0,
ERGP30237381,CONSTRUCTION OF UNIVERSITY BOULEVARD FOR EROSION SITE IN UMUISI BENDE LGA ABIA NORTH SENATORIAL DISTRICT,,,Abia,,
ERGP30237408,"CONSTRUCTION OF ROAD IN LOKPAUKWU, UMUNNEOCHI LGA, ABIA NORTH SENATORIAL DISTRICT",,ONGOING,Abia,175000000.0,
ERGP30237437,"CONSTRUCTION OF INTERNAL ROADS AT OKE ISOKUN OYO WEST LGA, OYO STATE",,ONGOING,Oyo,420000000.0,
ERGP30237486,"PROVISION OF EMPOWERMENT ITEMS(MOTORCYCLES, TRICYCLES, AND SMALL BUSES) IN SOUTH WEST",,,,,
ERGP30237511,"""CONSTRUCTION OF CONCRETE WALKWAY WITH SIDE DRAINAGES IN KAIMA COMMUNITY, KOLGA BAYLESA CENTRAL SENATORIAL DISTRICT """,,ONGOING,,70000000.0,
ERGP30237539,RENOVATION OF SCIENCE LABORATORY HALL OF EHUNACHI COMPREHENSIVE SECONDARY SCHOOL OBOWO LGA IMO,,ONGOING,Imo,35000000.0,
ERGP30247075,"CONSTRUCTION OF UMUISOR FARM ROAD, DELTA STATE",,ONGOING,Delta,750000000.0,
ERGP30229118,"PROCUREMENT OF AGRICULTURAL MACHINARIES: ONE NUMBER (1No) TRACTOR OFOROLA, OWERRI WEST LGA Budget Office of the Federation              Page 765 / 2790                                           2026 F",,ONGOING,,56000000.0,
ERGP30111244,"BIO-ACTIVE PLANTS AS SUBSTITUTE FOR SYNTHETIC PESTICIDES IN THE CONTROL OFONGOING              9,010,142 PEST OF STORED PRODUCTS",,,,9010142.0,
ERGP30243274,"SUPPLY OF FOOD ITEMS AND AGRICULTURAL INPUTS TO DISPLACED PEOPLE IN KWANDE/ USHONGO FEDERAL CONSTITUENCY, BENUE STATE.",,ONGOING,Benue,140000000.0,
ERGP30126042,EQUIPPING OF A LABORATORY IN LAGOS,,ONGOING,Lagos,84000000.0,
ERGP30155166,ANALYSIS OF DRUG RESIDUES IN ANIMAL PRODUCTS FOR EXPORT,,ONGOING,,10500000.0,
ERGP12174905,"CONSTRUCTION AND REHABILITATION OF ROADS NETWORK AND DRAINAGES SYSTEMONGOING              13,174,798 IN THE INSTITUTE HEADQUARTERS",,,,13174798.0,
ERGP30203728,PROVISION OF POWER TO THE LABORATORY COMPLEX AND LIBRARY IN THE HEADQUARTERS,,ONGOING,,23065583.0,
ERGP30243107,"REHABILITATION OF SELECTED ROAD WITHIN KWARA CENTRAL SENATORIAL DISTRICTONGOING            280,000,000",,,Kwara,280000000.0,
ERGP27159182,REHABILITATION OF HEADQUARTERS BUILDING - CONTINUATION OF BLOCK D & G AT 75% COMPLETION,,ONGOING,,21000000.0,
ERGP30139858,PROCUREMENT OF OFFICE FURNITURE AND FITTINGS,,ONGOING,,8925119.0,
ERGP30144032,IMPLEMENTATION OF EASE OF DOING BUSINESS(LEGAL FRAME WORK),,ONGOING,,17500000.0,
ERGP30159176,BUILDING SUPPORT FOR LOCAL INITIATIVE PRODUCTION IN LINE WITH EXECUTIVE ORDER 003 AND LOCAL CONTENT ACT,,ONGOING,,10500000.0,
ERGP30194484,PARTICIPATION AT THE D-8 TRADE MINISTERIAL COUNCIL MEETING,,ONGOING,,17500000.0,
ERGP30233617,"FMITI'S DIGITAL ASSET MANAGEMENT PROJECT: INTEGRATING PROPERTIES, SERVICES AND INVENTORY THROUGH DIGITAL TRANSFORMATION",,,,,
ERGP27228061,"CONSTRUCTION OF WATER PUMPING STATION AND EXTENSION OF WATER SUPPLY AND FIRE HYDRANT RETICULATION NETWORK AT SPECIAL ECONOMIC ZONE, BICHI, KANO STATE",,ONGOING,Kano,420000000.0,
ERGP30228838,MULTILATERAL & CONTINENTAL WORLD ECONOMIC FORUMS (NTO GENEVA OFFICIAL ENGAGEMENT IN THE WORLD ECONOMIC FORUMS TO STIMULATE INVESTMENT FACILITATION TO NIGERIA) Budget Office of the Federation          ,,ONGOING,,28700000.0,
ERGP29233066,CUSTOMIZE SOFTWARE DEVELOPMENT AND INTEGRATION AT OGFZA OFFICES ALONG CHAINAGE 0+00 TO 0+300 OF ACCESS ROAD LEADING TO LIBERTY OPERATIONAL OFFICE COMPLEX ACCESS ROAD LEADING TO LIBERTY OPERATIONAL OFF,,ONGOING,,56000000.0,
ERGP12238088,CONSTRUCTION AND REHABILITATION OF INTERNAL ROADS IN AKAMKPA URBAN AKAMKPA LGA IN CROSS RIVER SOUTH SENATORIAL DISTRICT,,ONGOING,Cross River,350000000.0,
ERGP30237442,"""GRANT FOR YOUTH AND WOMEN IN YOBE NORTH SENATORIAL DISTRICT, YOBE STATE""",,ONGOING,Yobe,140000000.0,
ERGP30237636,PROVISION OF CONDITIONAL GRANTS FOR YOUTH AND WOMEN EMPOWERMENT IN RIMI LOCAL GOVERNMENT AREA AND OTHER SELECTED LOCATIONS WITHIN THE CONSTITUENCY,,ONGOING,,280000000.0,
ERGP30237894,"PROVISION OF BUSINESS VENTURE FOR WOMEN GROUPS IN DARAZO/GANJUWA FEDERAL CONSTITUENCY, BAUCHI STATE",,ONGOING,Bauchi,73500000.0,
ERGP30238186,TRAINING AND EMPOWERMENT OF WOMEN IN TAILORING/FASHION DESIGN IN BAGUDO LG OF KEBBI NORTH SENATORIAL DISTRICT KEBBIÃÂ STATE,,ONGOING,Kebbi,105000000.0,
ERGP30177409,"PUBLICATIONS OF FCCPA, JUDGEMENTS, REPORTS, NOTICES AND JOURNALS AND ANNUAL REPORTS",,ONGOING,,20897619.0,
ERGP16203048,STAFF MEDICAL AND FITNESS CHECK STATION/FIRST AID SITUATION ROOM,,ONGOING,,8400000.0,
ERGP19143869,"SENSITIZATION, AWARENESS CREATION AND PUBLICITY ON THE MANDATES OF THE MINISTRY",,ONGOING,,24500000.0,
ERGP22232155,"PROCUREMENT OF OPERATIONAL GADGETS AND RAINCOATS, FOR SECURITY GUARDSONGOING                  14,000,000 IN FML& E SKILLS CENTERS NATION WIDE",,,,14000000.0,
ERGP29203066,DIGITALIZATION AND AUTOMATION OF LABOUR INSPECTION SERVICES,,ONGOING,,7700000.0,
ERGP30143871,"PROVISION OF MEDIA COVERAGE AND PUBLICITY FOR THE OFFICIAL ACTIVITIES OF THE HON. MINISTERS WITHIN AND OUTSIDE ABUJA, INCLUSIVE OF FACTORY INSPECTIONS AND VISITS TO SKILLS DEVELOPMENT CENTRES",,ONGOING,Abuja,9870000.0,
ERGP30203078,STRENGTHENING PUBLIC EMPLOYMENT SERVICES THROUGH ARTICULATION AND PROVISION OF ACTIVE LABOUR MARKET PROGRAMS,,ONGOING,,10500000.0,
ERGP30230411,"SOURCING AND MANAGEMENT OF FINANCE AND ACCOUNTS OFFICES IN THE 36 STATES, FCT AND ZONAL OFFICES",,ONGOING,Fct,31500000.0,
ERGP10238755,"PROVISION OF SOLAR POWERED STREET LIGHTS AT GYAWANA, LAMURDE LGA ADAMAWA STATE",,ONGOING,Adamawa,35000000.0,
ERGP12238821,"CONSTRUCTION OF ROAD AT AYOOLA OGUNFUNWA STREET, GRA, (AREMO AA) SOUTH WEST",,ONGOING,,35000000.0,
ERGP27238820,"MINI STADIUM KAKWAGOM, BOKI, IKOM/BOKI FED CONST, CROSS RIVER STATE",,ONGOING,Cross River,105000000.0,
ERGP30238832,"PROVISION OF EMPOWERMENT MATERIALS IN UNGUWAR FULANI, MANA, GIDAN DAHALA IN SOKOTO",,ONGOING,Sokoto,14605137.0,
ERGP16234094,CAPACITY BUILDING FOR ORGANISED LABOUR LEADDER ON THE PRESIDENT 8 POINT AGENDA IN 6 GEO POLITICAL ZONES,,ONGOING,,28000000.0,
ERGP28238953,"PROVISION OF FERTILIZER PUMPING MACHINE AND GRANTS TO FARMER GROUPS TO BOOST FOOD PRODUCTION IN EKITI/IREPODUN/ISIN/OKE - ERO FEDERAL CONSTITUENCY,KWARA STATE",,ONGOING,Ekiti,70000000.0,
ERGP30166918,DEVELOPMENT OF PRODUCTIVITY LINKED WAGE SYSTEM FOR THE PUBLIC SECTOR,,ONGOING,,88763608.0,
ERGP30242337,EMPOWERMENT FOR WOMEN & YOUTH IN SELECTED COMMUNITIES IN LAGOS,,ONGOING,Lagos,70000000.0,
ERGP30242390,SUPPLY OF FOOD ITEMS IN NORTH EAST,,ONGOING,,210000000.0,
ERGP30242902,PROVISION OF SOLAR-POWERED BORE HOLES IN SELECTED COMMUNITIES IN KEBBI STATE.,,ONGOING,Kebbi,350000000.0,
ERGP30243172,"ROAD CONSTRUCTION IN KOFAR MAZUGAL/KOFAR RUWA WARD OF DALA FEDERAL CONSTITUENCY, KANO STATE (MULITPLE LOTS)",,ONGOING,Kano,700000000.0,
ERGP30243289,"SUPPLY OF LAPTOP COMPUTERS AND GSM PHONES TO STUDENTS WITHIN GWARZO/KABO FEDERAL CONSTITUENCY, KANO STATE",,ONGOING,Kano,14000000.0,
ERGP30243493,PROVISION OF EMPOWERMENT ITEMS IN SELECTED LOCATIONS IN KOGI STATE,,ONGOING,Kogi,210000000.0,
ERGP30243648,"LAND CLEARING, CONSTRUCTION OF VIEWING CENTER AND OPEN FIELD PLAY AND RECREATION AREA IN EKINRIN ADDE OF KOGI STATE LOT MULTIPLE LOT",,ONGOING,Kogi,595000000.0,
ERGP30243724,"ESTABLISHMENT OF MAIZE FARM PLANTATION FOR YOUTHS FOR SUSTAINABLE GROWTH IN PARAGA, OGUN STATE.",,ONGOING,Ogun,140000000.0,
ERGP30243799,"PURCHASE OF MOTORCYCLES TO THE PEOPLE OF ISA/SABON/BIRNI FEDERAL CONSTITUENCY, SOKOTO STATE",,ONGOING,Sokoto,70000000.0,
ERGP30243890,PURCHASE OF MINIBUSSES FOR MASS TRANSIT IN KEBBI STATE,,ONGOING,Kebbi,350000000.0,
ERGP30244373,"EMPOWERMENT OF YOUTH AND WIDOWS FOR SELF INDEPENDENCE PROGRAMME IN ABIRIBA OHAFIA L.G.A, ABIA STATE",,ONGOING,Abia,52500000.0,
ERGP30244516,SUPPLY AND INSTALLATION OF SOLAR POWERED BOREHOLE IN ASA/ILORIN WEST FEDERAL CONSTITUENCY,,ONGOING,,70000000.0,
ERGP30244601,SUSTAINABLE ENTERPRENRESHIP TRAINING AND VALUABLE EMPOWERMENT FOR MARKET WOMEN IN SOUTH WEST,,ONGOING,,140000000.0,
ERGP30244746,"PROVISION OF SOLAR-POWERED WATER PROJECTS IN NUNG UKIM iii, MKPAT ENIN LGA, AKWA IBOM SOUTH SENATORIAL DISTRICT",,ONGOING,Akwa Ibom,21000000.0,
ERGP30244925,"CONSTRUCTION OF 1KM ROAD IN OROPO MUSLIM CEMETERY ROAD, BADAGARY, LGA",,ONGOING,,140000000.0,
ERGP30245062,PROVISION OF ELECTRICITY AT NAMBE MBAKYAN AND CHOR NYIEV KWANDE LGA OF BENUE NORTH EAST SENATORIAL DISTRICT.,,ONGOING,Benue,105000000.0,
ERGP30245121,PROCUREMENT OF HOSPITAL EQUIPMENTS TO KANO SOUTH SENATORIAL DISTRICT,,ONGOING,Kano,56000000.0,
ERGP30245187,"PROVISON AND INSTALLATION OF 100-WATT RENEWABLE ENERGY LIGHTNING SOLUTION IN SELECTED COMMUNITIES ACROSS KATSINA, BENUE, SOKOTO, BORNO STATES (MULTIPLE LOTS)",,ONGOING,"Katsina, Benue, Sokoto, Borno",700000000.0,
ERGP30245240,SUPPLY OF EMPOWERMENT ITEMS TO ENHANCE THE LIVELIHOOD OF YOUTHS IN SOME SELECTED LOCATIONS ACROSS NORTH WEST,,,,,
ERGP30245296,OUTREACH REGISTRATIONAND DATA CAPTURING FOR FINANCIAL INCLUTION TO ACCESS FUNDS AND ASSISTANCE FROM GOVERNMENT ORGANIZATIONS FOR DISPLACED PERSONS AND VULNERABLE GROUPS IN BATSARI/ SAFANA/DANMUSA FEDE,,ONGOING,,12222000.0,
ERGP30245369,"PROVISION OF SOLAR STREET LIGHTS TO IDDI, MANA, GIDAN DAHALA AND TSOHON GIDA IN SOKOTO",,ONGOING,Sokoto,21000000.0,
ERGP30245408,"PROVISION OF EMPOWERMENT MATERIALS FOR WOMEN OF OYO SOUTH SENATORIALONGOING                  7,000,000 DISTRICT, OYO STATE.",,,Oyo,7000000.0,
ERGP30245461,"CONSTRUCTION OF PRIMARY HEALTH CARE TYPRE A IN BABURI TOWN OF DOGUWA/TUDUN WADA FEDERAL CONSTITUENCY, KANO STATE",,ONGOING,Kano,350000000.0,
ERGP30245487,"CONSTRUCTION AND RENOVATION OF CLASSROOMS ACROSS MAKAFI/KUDAN FEDERAL CONSTITUENCY, KADUNA STATE",,ONGOING,Kaduna,245000000.0,
ERGP30245518,"CONSTRUCTION OF RURAL FEEDERA ROAD WITHIN GWARZO/KABO FEDERAL CONSTITUENCY, KANO STATE",,ONGOING,Kano,140000000.0,
ERGP30245546,"REHABILITATION OF BLOCKS OF CLASSROOMS IN SELECTED COMMUNITIES IN WUDIL/GARKO FEDERAL CONSTITUENCY, KANO STATE",,ONGOING,Kano,105000000.0,
